time,mass,radius,x,y,z,x-velocity,y-velocity,z-velocity,x-acceleration,y-acceleration,z-acceleration,x-force,y-force,z-force
0,6000000000000000000000000,6000000,0,0,0,0,-12.709188937732122,0,0,0,0,0,0,0
3600,6000000000000000000000000,6000000,241.04512984495656,-45752.24426223019,0.0,0.13398721612968967,-12.708491570488055,0.0,3.7217358843187586e-05,3.874230851199359e-07,0.0,2.233041530591255e+20,2.3245385107196155e+18,0.0
7200,6000000000000000000000000,6000000,964.4229769452328,-91499.46756226856,0.0,0.26796024985121525,-12.706398761826183,0.0,3.721145126889388e-05,7.750235736608483e-07,0.0,2.2326870761336327e+20,4.65014144196509e+18,0.0
10800,6000000000000000000000000,6000000,2170.056979658374,-137236.64663874434,0.0,0.40190492414813883,-12.702910716690702,0.0,3.720160590204988e-05,1.1625481805914615e-06,0.0,2.2320963541229925e+20,6.975289083548769e+18,0.0
14400,6000000000000000000000000,6000000,3857.81954289759,-182958.75921370953,0.0,0.5358070643175009,-12.698027776556659,0.0,3.718782354590308e-05,1.5499589826071348e-06,0.0,2.2312694127541846e+20,9.299753895642808e+18,0.0
18000,6000000000000000000000000,6000000,6027.5320485418715,-228660.78448412093,0.0,0.6696524991269331,-12.691750419413882,0.0,3.71701053251371e-05,1.937218061695904e-06,0.0,2.2302063195082257e+20,1.1623308370175425e+19,0.0
21600,6000000000000000000000000,6000000,8678.964870011961,-274337.7036132578,0.0,0.8034270619718902,-12.684079259744927,0.0,3.714845268591457e-05,2.3242875069164e-06,0.0,2.2289071611548742e+20,1.3945725041498399e+19,0.0
25200,6000000000000000000000000,6000000,11811.837391012627,-319984.5002220439,0.0,0.937116592033091,-12.67501504849633,0.0,3.712286739593743e-05,2.711129416178814e-06,0.0,2.227372043756246e+20,1.6266776497072884e+19,0.0
28800,6000000000000000000000000,6000000,15425.818028442178,-365596.16088025767,0.0,1.0707069354341705,-12.664558673043466,0.0,3.709335154451486e-05,3.0977058980290808e-06,0.0,2.2256010926708913e+20,1.8586235388174483e+19,0.0
32400,6000000000000000000000000,6000000,19520.524259470087,-411167.6755976052,0.0,1.2041839463996153,-12.652711157149174,0.0,3.7059907542647626e-05,3.483979073437565e-06,0.0,2.2235944525588575e+20,2.090387444062539e+19,0.0
36000,6000000000000000000000000,6000000,24095.522652783715,-456694.0383146274,0.0,1.337533488413019,-12.639473660915707,0.0,3.702253812312191e-05,3.869911077592384e-06,0.0,2.2213522873873144e+20,2.32194664655543e+19,0.0
39600,6000000000000000000000000,6000000,29150.328904004804,-502170.247393426,0.0,1.470741435375709,-12.624847480730315,0.0,3.6981246340615926e-05,4.2554640616983e-06,0.0,2.2188747804369555e+20,2.55327843701898e+19,0.0
43200,6000000000000000000000000,6000000,34684.40787527898,-547591.3061081878,0.0,1.603793672765746,-12.60883404920438,0.0,3.6936035571820703e-05,4.640600194782285e-06,0.0,2.216162134309242e+20,2.7843601168693707e+19,0.0
46800,6000000000000000000000000,6000000,40697.1736390376,-592952.2231354566,0.0,1.7366760987974241,-12.591434935106037,0.0,3.688690951556867e-05,5.025281665505387e-06,0.0,2.2132145709341203e+20,3.0151689993032323e+19,0.0
50400,6000000000000000000000000,6000000,47187.989525934114,-638248.0130441934,0.0,1.8693746255812258,-12.572651843285962,0.0,3.6833872192977805e-05,5.409470683982772e-06,0.0,2.210032331578668e+20,3.245682410389663e+19,0.0
54000,6000000000000000000000000,6000000,54156.1681769588,-683473.6967855023,0.0,2.0018751802843266,-12.552486614597225,0.0,3.677692794760361e-05,5.7931294836115535e-06,0.0,2.2066156768562168e+20,3.475877690166932e+19,0.0
57600,6000000000000000000000000,6000000,61600.971599731114,-728624.3021821022,0.0,2.1341637062916465,-12.530941225807897,0.0,3.671608144560589e-05,6.176220322908106e-06,0.0,2.2029648867363534e+20,3.705732193744863e+19,0.0
61200,6000000000000000000000000,6000000,69521.61122897358,-773694.864417445,0.0,2.266226164367554,-12.508017789507365,0.0,3.665133767592499e-05,6.558705487354913e-06,0.0,2.199080260555499e+20,3.935223292412948e+19,0.0
64800,6000000000000000000000000,6000000,77917.24799116715,-818680.426524505,0.0,2.3980485338182245,-12.483718554005925,0.0,3.658270195046755e-05,6.940547291257254e-06,0.0,2.194962117028053e+20,4.164328374754352e+19,0.0
68400,6000000000000000000000000,6000000,86786.99237339648,-863576.039874169,0.0,2.5296168136546435,-12.458045903227788,0.0,3.651017990430561e-05,7.3217080796116034e-06,0.0,2.1906107942583366e+20,4.393024847766962e+19,0.0
72000,6000000000000000000000000,6000000,96129.90449637822,-908376.764663252,0.0,2.6609170237564013,-12.431002356596895,0.0,3.643377749588285e-05,7.70215022998486e-06,0.0,2.186026649752971e+20,4.621290137990916e+19,0.0
75600,6000000000000000000000000,6000000,105944.99419168373,-953077.6704020789,0.0,2.7919352060361757,-12.40259056891658,0.0,3.6353501007235016e-05,8.081836154406987e-06,0.0,2.181210060434101e+20,4.849101692644192e+19,0.0
79200,6000000000000000000000000,6000000,116231.22108315454,-997673.8364016282,0.0,2.9226574256051165,-12.372813330241815,0.0,3.6269357044214935e-05,8.460728301275105e-06,0.0,2.176161422652896e+20,5.076436980765063e+19,0.0
82800,6000000000000000000000000,6000000,126987.49467251408,-1042160.3522601875,0.0,3.0530697719390107,-12.34167356574516,0.0,3.618135253673173e-05,8.838789157272669e-06,0.0,2.1708811522039038e+20,5.303273494363601e+19,0.0
86400,6000000000000000000000000,6000000,138212.67442917993,-1086532.3183495407,0.0,3.18315836004528,-12.30917433557513,0.0,3.608949473899555e-05,9.215981249301635e-06,0.0,2.165369684339733e+20,5.529588749580981e+19,0.0
90000,6000000000000000000000000,6000000,149905.569884278,-1130784.8463005926,0.0,3.3129093316309763,-12.275318834708044,0.0,3.5993791229773275e-05,9.592267146430288e-06,0.0,2.1596274737863967e+20,5.755360287858173e+19,0.0
93600,6000000000000000000000000,6000000,162064.94072886585,-1174913.0594884993,0.0,3.442308856271632,-12.240110392792676,0.0,3.5894249912652834e-05,9.967609461856663e-06,0.0,2.1536549947591698e+20,5.980565677113998e+19,0.0
97200,6000000000000000000000000,6000000,174689.4969163599,-1218912.0935171708,0.0,3.5713431325810854,-12.203552473987962,0.0,3.579087901631298e-05,1.034197085488719e-05,0.0,2.1474527409787788e+20,6.205182512932314e+19,0.0
100800,6000000000000000000000000,6000000,187777.89876918116,-1262777.0967032427,0.0,3.699998389382332,-12.165648676793092,0.0,3.568368709480319e-05,1.0715314032932835e-05,0.0,2.1410212256881915e+20,6.4291884197597e+19,0.0
104400,6000000000000000000000000,6000000,201328.75708961763,-1306503.2305593465,0.0,3.8282608868793857,-12.126402733871146,0.0,3.5572683027829484e-05,1.1087601753522127e-05,0.0,2.134360981669769e+20,6.652561052113276e+19,0.0
108000,6000000000000000000000000,6000000,215340.633274904,-1350085.670276783,0.0,3.9561169178301174,-12.085818511864616,0.0,3.5457876021048605e-05,1.1458796826332867e-05,0.0,2.1274725612629164e+20,6.87527809579972e+19,0.0
111600,6000000000000000000000000,6000000,229812.0394365262,-1393519.6052075252,0.0,4.08355280872027,-12.04390001120431,0.0,3.533927560636654e-05,1.1828862115241425e-05,0.0,2.1203565363819925e+20,7.097317269144855e+19,0.0
115200,6000000000000000000000000,6000000,244741.43852375748,-1436800.239345462,0.0,4.210554920938482,-12.000651365910267,0.0,3.521689164224353e-05,1.2197760540391427e-05,0.0,2.1130134985346115e+20,7.318656324234856e+19,0.0
118800,6000000000000000000000000,6000000,260127.24445142222,-1479922.7918069977,0.0,4.337109651952423,-11.956076843385494,0.0,3.509073431400661e-05,1.2565455080283027e-05,0.0,2.1054440588403966e+20,7.539273048169816e+19,0.0
122400,6000000000000000000000000,6000000,275967.8222319017,-1522882.4973108065,0.0,4.463203436486091,-11.91018084420228,0.0,3.496081413416367e-05,1.2931908773880843e-05,0.0,2.09764884804982e+20,7.759145264328506e+19,0.0
126000,6000000000000000000000000,6000000,292261.48811136954,-1565674.6066568722,0.0,4.588822747698274,-11.862967901880449,0.0,3.4827141942725765e-05,1.3297084722744796e-05,0.0,2.089628516563546e+20,7.978250833646877e+19,0.0
129600,6000000000000000000000000,6000000,309006.50971028657,-1608294.387204679,0.0,4.713954098362135,-11.814442682658244,0.0,3.468972890752913e-05,1.3660946093179512e-05,0.0,2.0813837344517476e+20,8.196567655907706e+19,0.0
135112,6000000000000000000000000,6000000,335525.32589382376,-1673228.809573087,0.0,4.904636864311409,-11.73758492677423,0.0,3.447203140272939e-05,1.4215627778227257e-05,0.0,2.068321884163763e+20,8.529376666936354e+19,0.0
